,description
215,Dear A:QIA-016-TX Display Kaput - Defect found during PM activities DEA A QIA-016 : Replace Transmitter DEA A QIA-016 : Replace Transmitter - Defect found during PM activities
216,Dear B: QIA-025-TX Display Kaput - Found during Pm activities Dear B: QIA-025-TX Display Kaput Dear B: QIA-025-TX Display Kaput - Found during Pm activities
217,To test existing cable for TOC project. To test existing cable healthiness for TOC project. To test existing cable for TOC project. To test existing cable for TOC project. To test existing cable healthiness for TOC project.
218,ASU1 control valve servicing (ASU1 TA )  ASU1 control valve servicing (ASU1 TA ) ASU1 control valve servicing (ASU1 TA )
219,ASU1 expander inlet valve replaceme  ASU1 expander inlet valve replacement ASU1 expander inlet valve replacement
220,DEMIN MBE: Acid Injection XVY-2A13-VX  DEMIN MBE: Acid Injection XVY-2A13-VX DEMIN MBE: Acid Injection XVY-2A13-VX
221,MBE B 2A10 Service Actuator  MBE B 2A10 Service Actuator A6 MBE B 2A10 Service Actuator A6  Actair 6
222,BXVY-2A18-XV Replace Actuator  BXVY-2A18-XV Replace Actuator 
223,MBE C 2A18 Replace/Service Actuator  MBE C 2A18 Replace/Service Actuator MBE C 2A18 Replace/Service Actuator
224,MBE D 2A10 Service Actuator  MBE D 2A10 Service Actuator MBE D 2A10 Service Actuator
225,MBE J 2A15 Replace/Service Actuator  MBE J 2A15 Replace/Service Actuator MBE J 2A15 Replace/Service Actuator
226,MBE D 2A11 Replace/Service Actuator  MBE D 2A11 Replace/Service Actuator MBE D 2A11 Replace/Service Actuator
227,MBE D 2A11 Replace Switchbox  MBE D 2A11 Replace Switchbox MBE D 2A11 Replace Switchbox
228,EXVY-2A09-XV Replace Actuator  EXVY-2A09-XV Replace Actuator EXVY-2A09-XV Replace Actuator
229,MBE E 2A09 Replace Actuator  MBE E 2A09 Replace Actuator MBE E 2A09 Replace Actuator
230,MBE E 2A09 Replace Actuator  MBE B 2A10 Replace Actuator A6 MBE B 2A10 Replace Actuator A6
231,EXVY-2A09-XV Replace Actuator  EXVY-2A09-XV Replace Actuator EXVY-2A09-XV Replace Actuator
232,MBE E 2A11 Replace Actuator  MBE B 2A19 Replace Actuator A6 MBE B 2A19 Replace Actuator A6
233,MBE E 2A16 Service Actuator  MBE E 2A15 Service Actuator A6 MBE E 2A15 Service Actuator A6
234,EXVY-2A18-XV Replace Actuator  EXVY-2A18-XV Replace Actuator EXVY-2A18-XV Replace Actuator
235,MBE F 2A17 Replace/Service Actuator  MBE F 2A17 Replace/Service Actuator MBE F 2A17 Replace/Service Actuator
236,MBE M 2A18 Replace/Service Actuator  MBE M 2A18 Replace/Service Actuator MBE M 2A18 Replace/Service Actuator
237,MBE J 2A18 Replace/Service Actuator  MBE J 2A18 Replace/Service Actuator MBE J 2A18 Replace/Service Actuator
238,To perform calibration at EOG motor 23B  To perform calibration at EOG motor 23B To perform calibration at EOG motor 23B bearing TX 125TZIA-4A855-TX
239,Replace Actuator CP D 7A08  Replace Actuator CP D 7A08 Replace Actuator CP D 7A08
240,CP D 7A10 Service Actuator  CP D 7A10 Service Actuator CP D 7A10 Service Actuator
241,CP D 7A14 Service Actuator  CP D 7A14 Service Actuator CP D 7A14 Service Actuator
242,Replace Actuator CP D 7A15  Replace Actuator CP D 7A15 Replace Actuator CP D 7A15
243,CP D 7A17 Service Actuator  CP D 7A17 Service Actuator CP D 7A17 Service Actuator
244,ATS CP E EXVY-7A16 faulty sign 1)As found condition: -CP E EXVY-7A16 Control valve faulty signal  2)Actions taken during Do Troubleshooting: -Follow the do troubleshooting checklist but still cannot operate  3)Actions taken during Advance Troubleshooting: -N/A  4)Findings/Observations during Do Troubleshooting: -Control valve cannot perform stroke  5)Findings/Observations during Advance Troubleshooting: -Limit switch miss-aligned \xe2\x80\x93 ok -Limit switch kaput -Termination not ok -Terminal block not ok  6)Source of Problem: -Limit switch kaput -Termination not ok -Terminal block not ok  7)As left condition: -CP E stop service and running CP on standby  8)PKP and Troubleshooter name & contact number: -M Adib 013-4677523  9)Task: -To check limit switch healthiness and loop check. -Perform switching to spare termination point if required  10)Advance Troubleshooting eLog Number: -eLOG-GPU-UK OCW-2021-168  11)Special Tools/ Service/ Equipment required: - N/A  12)Attachments: - N/A  13)Equipment operation need date: -30/05/2021  14)Rectification Window: -Anytime  15)MOC No: -N/A  16)Remarks: NA ATS CP E EXVY-7A16 faulty signal ATS CP E EXVY-7A16 faulty signal 1)As found condition: -CP E EXVY-7A16 Control valve faulty signal  2)Actions taken during Do Troubleshooting: -Follow the do troubleshooting checklist but still cannot operate  3)Actions taken during Advance Troubleshooting: -N/A  4)Findings/Observations during Do Troubleshooting: -Control valve cannot perform stroke  5)Findings/Observations during Advance Troubleshooting: -Limit switch miss-aligned \xe2\x80\x93 ok -Limit switch kaput -Termination not ok -Terminal block not ok  6)Source of Problem: -Limit switch kaput -Termination not ok -Terminal block not ok  7)As left condition: -CP E stop service and running CP on standby  8)PKP and Troubleshooter name & contact number: -M Adib 013-4677523  9)Task: -To check limit switch healthiness and loop check. -Perform switching to spare termination point if required  10)Advance Troubleshooting eLog Number: -eLOG-GPU-UK OCW-2021-168  11)Special Tools/ Service/ Equipment required: - N/A  12)Attachments: - N/A  13)Equipment operation need date: -30/05/2021  14)Rectification Window: -Anytime  15)MOC No: -N/A  16)Remarks: NA
245,To replace Actuator 121EXVY-7A17-VX due  To replace Actuator 121EXVY-7A17-VX due To replace Actuator 121EXVY-7A17-VX due to passing
246,"CP F: Replace Tubing, nut & Ferrule - Found during replace regulator - Location not found CP F: Replace Tubing, nut & Ferrule CP F: Replace Tubing, nut & Ferrule - Found during replace regulator - Location not found"
247,FXVY 7A15 Replace Actuator  FXVY 7A15 Replace Actuator FXVY 7A15 Replace Actuator
248,CP F 7A15 Replace Actuator  CP F 7A15 Replace Actuator CP F 7A15 Replace Actuator
249,"ACF G: Replace fitting,Nut & Ferule - Found during replace regulator. - Isolation valve also need to replace - Location not found ACF G: Replace fitting,Nut & Ferule ACF G: Replace fitting,Nut & Ferule - Found during replace regulator. - Isolation valve also need to replace - Location not found"
250,CP G 7A16 Service Actuator  CP G 7A16 Service Actuator CP G 7A16 Service Actuator
251,Demin:QIA-7A03-TX Display Faulty - Found during PM activities by M Shamimi Replace QIA-7A03-TX Display Faulty Replace QIA-7A03-TX Display Faulty - Found during PM activities by M Shamimi
252,Demin CP Outlet Header QIA-7A03-TX PM  Demin CP Outlet Header QIA-7A03-TX PM Demin CP Outlet Header QIA-7A03-TX PM
253,MBE K 2A10 Replace/Service Actuator  MBE K 2A10 Replace/Service Actuator MBE K 2A10 Replace/Service Actuator
254,MBE K 2A19 Replace/Service Actuator  MBE K 2A19 Replace/Service Actuator MBE K 2A19 Replace/Service Actuator
255,MBE M 2A19 Replace/Service Actuator  MBE M 2A19 Replace/Service Actuator MBE M 2A19 Replace/Service Actuator
256,BRO C BFIA-2A07 A&B Casing Fabrication  BRO B BFIA-2A07 A&B Casing Fabrication BRO B BFIA-2A07 A&B Casing Fabrication
257,Silica Analyzer Demin Tank Sequencer  Silica Analyzer Demin Tank Replacement Silica Analyzer Demin Tank Replacement
258,MBE E: Cond probe sample cell leak MBE E: Cond probe sample cell leak - leak at joint between tubing and sample cell. Conduct reading OK. MBE E: Cond probe sample cell leak - lea MBE E: Cond probe sample cell leak - leak at joint between tubing and sample cell. Conduct reading OK.
259,MBE M 2A04 Conductivity Replace Tx  Install Neut Sump A 2A32 Acid Valve Install Neut Sump A 2A32 Acid Valve  Old tx - replace new tx
260,Replace Transmitter QIA 2A08  Replace Transmitter QIA 2A08 Replace Transmitter QIA 2A08
261,T/SHOOT LIA-2A07 ACID TANK TX FAULTY 1)As found condition:H2SO4 Acid Tank level transmitter faulty. Unable to achieved concentration during regen activity 2)Actions taken during Do Troubleshooting: -OPN perform visual check on TX and open drain but no flow came out. -Test for line clog. 3)Actions taken during Advance Troubleshooting:N/A 4)Findings/Observations during Do Troubleshooting:No flow outlet from drain point while tx still showed valued at 1397.8mmH2O. Line observed not clogged. 5)Findings/Observations during Advance Troubleshooting:N/A 4)Source of Problem: Transmitter faulty 5)As left condition: Reading still shown 1397.8mmH20 6)PKP and Troubleshooter name & contact number:M Afnan / M Burhan 7)Task: To request standby person to perform TX faulty troubleshooting 8)Advance Troubleshooting eLog Number: 9)Special Tools/ Service/ Equipment required: Under tshooting 10)Attachments: N/A 11)Equipment operation need date: Immediately 19/2/2021 12)Rectification Window: Immediately 19/2/2021 13)MOC No:N/A 14)Remarks: Troubleshooting during silent hour T/SHOOT LIA-2A07 ACID TANK TX FAULTY (ON T/SHOOT LIA-2A07 ACID TANK TX FAULTY (ONCALL) 1)As found condition:H2SO4 Acid Tank level transmitter faulty. Unable to achieved concentration during regen activity 2)Actions taken during Do Troubleshooting: -OPN perform visual check on TX and open drain but no flow came out. -Test for line clog. 3)Actions taken during Advance Troubleshooting:N/A 4)Findings/Observations during Do Troubleshooting:No flow outlet from drain point while tx still showed valued at 1397.8mmH2O. Line observed not clogged. 5)Findings/Observations during Advance Troubleshooting:N/A 4)Source of Problem: Transmitter faulty 5)As left condition: Reading still shown 1397.8mmH20 6)PKP and Troubleshooter name & contact number:M Afnan / M Burhan 7)Task: To request standby person to perform TX faulty troubleshooting 8)Advance Troubleshooting eLog Number: 9)Special Tools/ Service/ Equipment required: Under tshooting 10)Attachments: N/A 11)Equipment operation need date: Immediately 19/2/2021 12)Rectification Window: Immediately 19/2/2021 13)MOC No:N/A 14)Remarks: Troubleshooting during silent hour
262,Caustic Conc. Reading Unavailable at DCS  Caustic Conc. Reading Unavailable at DCS Caustic Conc. Reading Unavailable at DCS - rectification
263,2A26 Replace Valve  2A26 Replace Valve 2A26 Replace Valve
264,XV-2A26-VX Replace Actuator  XV-2A26-VX Replace Actuator XV-2A26-VX Replace Actuator
265,REPLACE VALVE AT NEU SUMP A Neut. Sump A (AXVY-2A43) butterfly valve # DEFECT: Neut. Sump A (AXVY-2A43) butterfly valve flapper broken  # 1st line t/shooter: OPN suspect valve passing  # Finding t/shooter: C<(>&<)>I perform piping dissemble for AXVY-2A43 at Neutralization Sump A. C<(>&<)>I found the butterfly valve flapper  broken and stuch open.  # Task request: OPN request C<(>&<)>I to replace new butterfly valve asap. For temporary OPN will use (AXVY-2A43) butterfly valve flapper broken untill C<(>&<)>I get the new one. REPLACE VALVE AT NEU SUMP A REPLACE VALVE AT NEU SUMP A Neut. Sump A (AXVY-2A43) butterfly valve # DEFECT: Neut. Sump A (AXVY-2A43) butterfly valve flapper broken  # 1st line t/shooter: OPN suspect valve passing  # Finding t/shooter: C<(>&<)>I perform piping dissemble for AXVY-2A43 at Neutralization Sump A. C<(>&<)>I found the butterfly valve flapper  broken and stuch open.  # Task request: OPN request C<(>&<)>I to replace new butterfly valve asap. For temporary OPN will use (AXVY-2A43) butterfly valve flapper broken untill C<(>&<)>I get the new one.
266,CP A AFIA-7A04 inlet flow meter reading CP A AFIA-7A04 inlet flow meter reading faulty. Troubleshooter already troubleshoot and found sensor problem. CP A FIA 7A04 Replace Vortex Sensor CP A FIA 7A04 Replace Vortex Sensor  CP A AFIA-7A04 inlet flow meter reading CP A AFIA-7A04 inlet flow meter reading faulty. Troubleshooter already troubleshoot and found sensor problem.
267,DEMIN CP Functional Check  DEMIN CP Functional Check DEMIN CP Functional Check
268,Demin ACF CP B : Reinstate Instruments  Demin ACF CP B : Reinstate Instruments Demin ACF CP B : Reinstate Instruments
269,CP D:CONDUCT ANALYZER SAMPLE CELL CRACK  CP D:CONDUCT ANALYZER SAMPLE CELL CRACK CP D:CONDUCT ANALYZER SAMPLE CELL CRACK
270,Demin ACF CP F : Reinstate Instruments  Demin ACF CP F : Reinstate Instruments Demin ACF CP F : Reinstate Instruments
271,Demin ACF CP H : Reinstate Instruments  Demin ACF CP H : Reinstate Instruments Demin ACF CP H : Reinstate Instruments
272,Install new valve for MRO H 2A23  Install new valve for MRO H 2A23 Install new valve for MRO H 2A23
273,To perfrom IA dryer B switching valve se  To perfrom IA dryer B switching valve se To perfrom IA dryer B switching valve servicing
274,Air dryer sov  D Air dryer sov D Air dryer sov
275,PM IA Dryer B Valve  PM IA Dryer B Valve PM IA Dryer B Valve
276,PM IA Dryer B Valve  Service IA Dryer B Valve Service IA Dryer B Valve
277,To service drier B switching valve  To service drier B switching valve To service drier B switching valve
278,"EQ : Identify IA point and temination pH 1)As found condition: MOC study pH analyzer 127QIA-409 and 127QIA-410 require verifying existing IA point and trace existing termination point. No existing drawing for termination point.  2)Actions taken during Do Troubleshooting: NA  3)Actions taken during Advance Troubleshooting: Located nearby JB for termination point tracing Located nearby IA point, require verifying IA pressure.  4)Findings/Observations during Do Troubleshooting: NA  5)Findings/Observations during Advance Troubleshooting: IA pipe and termination JB spotted for further engineering study.  4)Source of Problem: NA  5)As left condition: Unit running  6)PKP and Troubleshooter name & contact number: Adib  7)Task: Identify IA and termination point for pH analyzer MOC study. Include ME Adib during execution  8)Advance Troubleshooting eLog Number:  9)Special Tools/ Service/ Equipment required: Beamex to read pressure value and basic tool to open JB and check termination.  10)Attachments: No existing drawing for termination point, therefore, require to manually tracing.  11)Equipment operation need date: NA  12)Rectification Window: Anytime  13)MOC No: NA  14)Remarks: NA IDENTIFY IA POINT & PH TERMINATION FOR A IDENTIFY IA POINT & PH TERMINATION FOR ANALYZER 127QIA-409 & 127QIA-410 AT ETP PLANT EQ : Identify IA point and temination pH 1)As found condition: MOC study pH analyzer 127QIA-409 and 127QIA-410 require verifying existing IA point and trace existing termination point. No existing drawing for termination point.  2)Actions taken during Do Troubleshooting: NA  3)Actions taken during Advance Troubleshooting: Located nearby JB for termination point tracing Located nearby IA point, require verifying IA pressure.  4)Findings/Observations during Do Troubleshooting: NA  5)Findings/Observations during Advance Troubleshooting: IA pipe and termination JB spotted for further engineering study.  4)Source of Problem: NA  5)As left condition: Unit running  6)PKP and Troubleshooter name & contact number: Adib  7)Task: Identify IA and termination point for pH analyzer MOC study. Include ME Adib during execution  8)Advance Troubleshooting eLog Number:  9)Special Tools/ Service/ Equipment required: Beamex to read pressure value and basic tool to open JB and check termination.  10)Attachments: No existing drawing for termination point, therefore, require to manually tracing.  11)Equipment operation need date: NA  12)Rectification Window: Anytime  13)MOC No: NA  14)Remarks: NA"
279,122QIA-2A01 Calibrate Chlorine Analyzer  122QIA-2A01 Calibrate Chlorine Analyzer 122QIA-2A01 Calibrate Chlorine Analyzer
280,"To open sampling tubing and trace clog ATR eLOG-UK-DEMIN2-20-00923 Note:  # No sample to analyser  # No result CL2 concentration  First Line Troubleshoot: # Perform blowing at the tubing but still no sample  Jobscope: To open tubing to check for cloging, starting from header. To open sampling tubing and trace clog To open sampling tubing and trace clog ATR eLOG-UK-DEMIN2-20-00923 Note:  # No sample to analyser  # No result CL2 concentration  First Line Troubleshoot: # Perform blowing at the tubing but still no sample  Jobscope: To open tubing to check for cloging, starting from header."
281,Demin Chlorine An. Replace New Sensor  Demin Chlorine An. Replace New Sensor Demin Chlorine An. Replace New Sensor
282,Replace Colorimeter Silica Analyzer DT  Replace Colorimeter Silica Analyzer DT Replace Colorimeter Silica Analyzer DT
283,Rectify Faulty Reading Silica 2A16 DT  Rectify Faulty Reading Silica 2A16 DT Rectify Faulty Reading Silica 2A16 DT
284,To troubleshoot Silica Analyzer 2A16  To troubleshoot Silica Analyzer 2A16 To troubleshoot Silica Analyzer 2A16
285,Install and Commission Silica 2A16  Install and Commission Silica 2A16 Install and Commission Silica 2A16
286,Calibrate PCESB Temp Tx Metering  Calibrate PCESB Temp Tx Metering Calibrate PCESB Temp Tx Metering
287,ASU1: LOX Process Pump B seal GOX PDCV 1 1)As found condition: Found leak at PDCV-1A53B seal Gox for Lox process Pump B 2)Actions taken during Do Troubleshooting: Direct Defect 3)Actions taken during Advance Troubleshooting: NA 4)Findings/Observations during Do Troubleshooting: Found leak seal Gox for Lox Process pump B 5)Findings/Observations during Advance Troubleshooting: NA 6)Source of Problem: Leak at screw for adjust flow 7)As left condition: Leak secure and under monitoring 8)PKP and Troubleshooter name & contact number: NA 9)Task: Direct Defect 10)Advance Troubleshooting eLog Number: NA 11)Special Tools/ Service/ Equipment required: NA 12)Attachments: NA 13)Equipment operation need date: NA 14)Rectification Window: During Lox Process Pump shutdown 15)MOC No: NA 16)Remarks: To be execute during ASU1 TA REPLACE SEAL GOX PDCV-1A53B FOR LOX PROC REPLACE SEAL GOX PDCV-1A53B FOR LOX PROCESS PUMP B ASU1: LOX Process Pump B seal GOX PDCV 1 1)As found condition: Found leak at PDCV-1A53B seal Gox for Lox process Pump B 2)Actions taken during Do Troubleshooting: Direct Defect 3)Actions taken during Advance Troubleshooting: NA 4)Findings/Observations during Do Troubleshooting: Found leak seal Gox for Lox Process pump B 5)Findings/Observations during Advance Troubleshooting: NA 6)Source of Problem: Leak at screw for adjust flow 7)As left condition: Leak secure and under monitoring 8)PKP and Troubleshooter name & contact number: NA 9)Task: Direct Defect 10)Advance Troubleshooting eLog Number: NA 11)Special Tools/ Service/ Equipment required: NA 12)Attachments: NA 13)Equipment operation need date: NA 14)Rectification Window: During Lox Process Pump shutdown 15)MOC No: NA 16)Remarks: To be execute during ASU1 TA
288,ASU2: LOX Process pump A recycle CV PICA ASU2: LOX Process pump A recycle CV PICA 4A235 heavy fluctuation  1st line troubleshooting: - Direct defect. Refering to ASU2 LOX Process Pump A System Heavy Fluctuation Discussion & Way Forward  Integrated troubleshooting: - Refering to ASU2 LOX Process Pump A System Heavy Fluctuation Discussion & Way Forward - Agreed to look into control valve by means of inspect and perform valve servicing prior to loop in GTS for further discussion ASU2: 125PICA-4A235-CV valve servicing ASU2: 125PICA-4A235-CV valve servicing ASU2: LOX Process pump A recycle CV PICA 4A235 heavy fluctuation  1st line troubleshooting: - Direct defect. Refering to ASU2 LOX Process Pump A System Heavy Fluctuation Discussion & Way Forward  Integrated troubleshooting: - Refering to ASU2 LOX Process Pump A System Heavy Fluctuation Discussion & Way Forward - Agreed to look into control valve by means of inspect and perform valve servicing prior to loop in GTS for further discussion
289,install press regulator&route IA tubing  install press regulator&route IA tubing install press regulator&route IA tubing
290,Replace 2A28 Valve  Replace 2A28 Valve Replace 2A28 Valve
291,XV-7A29 Replace/Service Actuator  XV-7A29 Replace/Service Actuator XV-7A29 Replace/Service Actuator
292,"ASU1 JT Valve 1A32 Calibration ASU1 JT Valve 1A32 Calibration  1)As found condition: DCS and site not same opening 2)Actions taken during Do Troubleshooting: Check at DCS, check no leak at IA 3)Actions taken during Advance Troubleshooting: N/A 4)Findings/Observations during Do Troubleshooting:Out of calibration 5)Findings/Observations during Advance Troubleshooting:N/A 4)Source of Problem:Out of Calibration 5)As left condition: Out Of calibration 6)PKP and Troubleshooter name & contact number:N/A 7)Task: N/A 8)Advance Troubleshooting eLog Number: N/A 9)Special Tools/ Service/ Equipment required:N/A 10)Attachments:N/A 11)Equipment operation need date:N/A 12)Rectification Window:AWSD 13)MOC No:N/A 14)Remarks:N/A PERFORM CALIBRATION JT VALVE 1A32 AT ASU PERFORM CALIBRATION JT VALVE 1A32 AT ASU1 PLANT ASU1 JT Valve 1A32 Calibration ASU1 JT Valve 1A32 Calibration  1)As found condition: DCS and site not same opening 2)Actions taken during Do Troubleshooting: Check at DCS, check no leak at IA 3)Actions taken during Advance Troubleshooting: N/A 4)Findings/Observations during Do Troubleshooting:Out of calibration 5)Findings/Observations during Advance Troubleshooting:N/A 4)Source of Problem:Out of Calibration 5)As left condition: Out Of calibration 6)PKP and Troubleshooter name & contact number:N/A 7)Task: N/A 8)Advance Troubleshooting eLog Number: N/A 9)Special Tools/ Service/ Equipment required:N/A 10)Attachments:N/A 11)Equipment operation need date:N/A 12)Rectification Window:AWSD 13)MOC No:N/A 14)Remarks:N/A"
293,ASU1 : To replace tx LZAH-1A02  ASU1 : To replace tx LZAH-1A02 ASU1 : To replace tx LZAH-1A02
294,HRSG-C:PERFORM PM FOR SOLENOID VALVE  HRSG-C:PERFORM PM FOR SOLENOID VALVE HRSG-C:PERFORM PM FOR SOLENOID VALVE
295,HRSG E:To perform preventive maintenance  HRSG E:To perform preventive maintenance HRSG E:To perform preventive maintenance for solenoid valve during CF Renewal. 
296,HRSG D:To perform preventive maintenance  HRSG D:To perform preventive maintenance HRSG D:To perform preventive maintenance for solenoid valve during CF Renewal. 
297,ABC:To install ground cable at PZA4A338A - Found during perform PM (Operational check) ABC:To install ground cable at PZA4A338A ABC:To install ground cable at PZA4A338A - Found during perform PM (Operational check)
298,PLANT TA NGU3 - INSTRUMENT TAS: MATERIAL  PLANT TA NGU3 - INSTRUMENT TAS: MATERIAL PLANT TA NGU3 - INSTRUMENT TAS: MATERIAL
299,CP F : Conductivity analyzer (QIA-7A01) CP F : Conductivity analyzer (QIA-7A01) casing leak CP F : Conductivity analyzer (QIA-7A01) CP F : Conductivity analyzer (QIA-7A01) CP F : Conductivity analyzer (QIA-7A01) casing leak
300,HRSG D : Steam drum pressure transmitter HRSG D : Steam drum pressure transmitter (121-PICA-1D57) leak at tubing  Remark :please refer to attachment for picture. HRSG D: Steam drum pressure transmitter HRSG D : Steam drum pressure transmitter (121-PICA-1D57) leak at tubing  Remark :please refer to attachment for picture.
301,"DEMIN - MBE G GXVY-2A14, Valve runtime f HRSG D : Steam drum pressure transmitter (121-PICA-1D57) leak at tubing  Remark :please refer to attachment for picture. DEMIN - MBE G GXVY-2A14, Valve runtime f HRSG D : Steam drum pressure transmitter (121-PICA-1D57) leak at tubing  Remark :please refer to attachment for picture."
302,"DEMIN - MMF K KXVY-2A07, Air scour outle HRSG D : Steam drum pressure transmitter (121-PICA-1D57) leak at tubing  Remark :please refer to attachment for picture. DEMIN - MMF K KXVY-2A07, Air scour outle HRSG D : Steam drum pressure transmitter (121-PICA-1D57) leak at tubing  Remark :please refer to attachment for picture."
303,"Lighting at inst air receiver not functi Lighting at inst air receiver not functioning.  1st line troubleshooting: - Observe not functioning during structured round Integrated troubleshooting: - ELEC shift (Arman) check  inside 13-LP-4-01 cabine,  cable was disconnected due to line trip. To raise defect for rectification Lighting at inst air receiver not functi Lighting at inst air receiver not functi Lighting at inst air receiver not functioning.  1st line troubleshooting: - Observe not functioning during structured round Integrated troubleshooting: - ELEC shift (Arman) check  inside 13-LP-4-01 cabine,  cable was disconnected due to line trip. To raise defect for rectification"
304,HRSG B BFW STEAM DRUM LVL CV PASSING WORK REQUEST TASK:To request C&I to perform CV servicing for BFW CV TAG NUMBER AND NAME:FIC-1B51-CV Steam Drum Level Control INTERGRATED TROOBLESHOOT:As per recomendation during HRSG E steam drum level high high RCFA.(BFW control valve passing) REMARKS: NA HRSGB:To perform servicing for BFW CV du HRSGB:To perform servicing for BFW CV due to passing HRSG B BFW STEAM DRUM LVL CV PASSING WORK REQUEST TASK:To request C&I to perform CV servicing for BFW CV TAG NUMBER AND NAME:FIC-1B51-CV Steam Drum Level Control INTERGRATED TROOBLESHOOT:As per recomendation during HRSG E steam drum level high high RCFA.(BFW control valve passing) REMARKS: NA
305,"HRSG B BFW AND STEAM FLOW HIGH DEVIATION To perform calibration 121FIC-1B51-TX and 121FIC-1B52-TX due to high deviation WORK REQUEST TASK:To request C&I to perform rectification for BFW flow and steam flow due to high deviation TAG NUMBER AND NAME: 121FIC-1B51-TX and 121FIC-1B52-TX (BFW and STEAM FLOW HRSG B) INTERGRATED TROOBLESHOOT:As request by PE and agreement with C&I. To perform online calibration REMARKS: refer attachment HRSG B:To perform calibration 121FIC-1B5 HRSG B:To perform calibration 121FIC-1B51-TX,121FIC-1B52-TX due to high deviation BFW AND STEAM FLOW HIGH DEVIATION WORK REQUEST TASK:To request C&I to perform rectification for BFW flow and steam flow due to high deviation TAG NUMBER AND NAME: 121FIC-1B51-TX and 121FIC-1B52-TX (BFW and STEAM FLOW HRSG B) INTERGRATED TROOBLESHOOT:As request by PE and agreement with C&I. To perform online calibration REMARKS: refer attachment"
306,"ATR HRSG B Cal FIC-1B51-TX & FIC-1B52-TX Based on eLog : https://point.petronas.com/elog/edit/1307115  TITLE :HRSG B HIGH DEVIATION FLOW BETWEEN BFW (FIC-1B51-TX) AND STEAM (FIC-1B52-TX).  1. Define Problem and Impact  High Deviation Flow between FIC-1B51-TX (BFW) and FIC-1D52-TX (Steam Flow).Average deviation 16%.Exspecially during burner OFF, deviation > 10%.  2. Process Recovery Action Taken To close monitor 3. 1st line troubleshooting  1) CBD maintain at 10 % opening.  2) Observation at startup vent,no steam passing  3) Visual inspection and structured round no observed Boiler leak.  4. Troubleshooting PIC require : MROT/MSTAT/C&I/ELECT C&I TO VERIFY CALIBRATION FOR FIC-1B51-TX & TO VERIFY CALIBRATION FOR FIC-1B51-TX & FIC-1B52-TX ATR HRSG B Cal FIC-1B51-TX & FIC-1B52-TX Based on eLog : https://point.petronas.com/elog/edit/1307115  TITLE :HRSG B HIGH DEVIATION FLOW BETWEEN BFW (FIC-1B51-TX) AND STEAM (FIC-1B52-TX).  1. Define Problem and Impact  High Deviation Flow between FIC-1B51-TX (BFW) and FIC-1D52-TX (Steam Flow).Average deviation 16%.Exspecially during burner OFF, deviation > 10%.  2. Process Recovery Action Taken To close monitor 3. 1st line troubleshooting  1) CBD maintain at 10 % opening.  2) Observation at startup vent,no steam passing  3) Visual inspection and structured round no observed Boiler leak.  4. Troubleshooting PIC require : MROT/MSTAT/C&I/ELECT C&I"
307,HRSG C BFW STEAM DRUM LVL CV PASSING WORK REQUEST TASK:To request C&I to perform CV servicing for BFW CV TAG NUMBER AND NAME:FIC-1C51-CV Steam Drum Level Control INTERGRATED TROOBLESHOOT:As per recomendation during HRSG E steam drum level high high RCFA.(BFW control valve passing) REMARKS: NA HRSG C:Perform  servicing for BFW CV 121 HRSG C:Perform  servicing for BFW CV 121FIC-1C51-CV due to passing  CV BFW STEAM DRUM LVL CV PASSING WORK REQUEST TASK:To request C&I to erform CV servicing for BFW CV TAG NUMBER AND NAME:FIC-1C51-CV Steam Drum Level Control INTERGRATED TROOBLESHOOT:As per recomendation during HRSG E steam drum level high high RCFA.(BFW control valve passing) REMARKS: NA
308,"ATR HRSG C Cal FIC-1C51-TX & FIC-1C52-TX As per eLog: https://point.petronas.com/elog/edit/1284223  TTTLE : Reading flow inlet BFW to HRSG C (FIC-1C51-TX) not tally with reading steam flow (FIC-1C52-TX).  1. Define Problem and Impact  1. Reading not tally BFW inlet flow vs Steam outlet flow.  2. Steam culculation not accurate.  2. Process Recovery Action Taken 1. FO perform visual check and found no abnormalities. 3. 1st line troubleshooting  1. FO check cable termination and tubing TX. No leak at tubing connection and cable termination in good condition.  2. PO plot, monitor and check trending BFW inlet flow to HRSG C vs steam flow from DCS.  4. Troubleshooting PIC require : MROT/MSTAT/C&I/ELECT 1. C&I ATR HRSG C Cal FIC-1C51-TX & FIC-1C52-TX ATR HRSG C Cal FIC-1C51-TX & FIC-1C52-TX As per eLog: https://point.petronas.com/elog/edit/1284223  TTTLE : Reading flow inlet BFW to HRSG C (FIC-1C51-TX) not tally with reading steam flow (FIC-1C52-TX).  1. Define Problem and Impact  1. Reading not tally BFW inlet flow vs Steam outlet flow.  2. Steam culculation not accurate.  2. Process Recovery Action Taken 1. FO perform visual check and found no abnormalities. 3. 1st line troubleshooting  1. FO check cable termination and tubing TX. No leak at tubing connection and cable termination in good condition.  2. PO plot, monitor and check trending BFW inlet flow to HRSG C vs steam flow from DCS.  4. Troubleshooting PIC require : MROT/MSTAT/C&I/ELECT 1. C&I"
