text,failureCat
"ATS Deaerator B: PICA-003 Stroke Test 1)Task: To assist ME Troubleshooter in performing troubleshooting as below: To perform stroke test and troubleshooting for 121PICA-003-CV at Deaerator B: 1. To perform instrument air bypass to actuator to check valve response 2. To disconnect linkage between actuator and valve stem to check fault issue from actuator and stem 3. To perform functional testing for positioner to confirm positioner issue 4. To verify any leak at tubing line  2)As found condition: Valve stuck at 0%  3)Actions taken during Do Troubleshooting: As per troubleshooting checklist  4)Actions taken during Advance Troubleshooting: Perform positioner calibration (oncall)  5)Findings/Observations during Do Troubleshooting: No abnormalities  6)Findings/Observations during Advance Troubleshooting: Positioner cannot calibrate  7)Source of Problem: Actuator leak or Plug stuck  8)As left condition: Valve stuck at 0%, Deaerator B shutdown  9)PKP and Troubleshooter name & contact number: Zuhair 0133216861  10)Advance Troubleshooting eLog Number: eLOG-GPU-UK OCW-2022-02790  11)Special Tools/ Service/ Equipment required: ESR: Ponterosso - 2 manpower to perform troubleshooting  12)Attachments: Datasheet  13)Equipment operation need date: 23 Jan 2022  14)Rectification Window: 23 Jan 2022  15)MOC No: NA  16)Remarks: 1 DM to supervise ATS Deaerator B: PICA-003 Stroke Test ATS Deaerator B: PICA-003 Stroke Test 1)Task: To assist ME Troubleshooter in performing troubleshooting as below: To perform stroke test and troubleshooting for 121PICA-003-CV at Deaerator B: 1. To perform instrument air bypass to actuator to check valve response 2. To disconnect linkage between actuator and valve stem to check fault issue from actuator and stem 3. To perform functional testing for positioner to confirm positioner issue 4. To verify any leak at tubing line  2)As found condition: Valve stuck at 0%  3)Actions taken during Do Troubleshooting: As per troubleshooting checklist  4)Actions taken during Advance Troubleshooting: Perform positioner calibration (oncall)  5)Findings/Observations during Do Troubleshooting: No abnormalities  6)Findings/Observations during Advance Troubleshooting: Positioner cannot calibrate  7)Source of Problem: Actuator leak or Plug stuck  8)As left condition: Valve stuck at 0%, Deaerator B shutdown  9)PKP and Troubleshooter name & contact number: Zuhair 0133216861  10)Advance Troubleshooting eLog Number: eLOG-GPU-UK OCW-2022-02790  11)Special Tools/ Service/ Equipment required: ESR: Ponterosso - 2 manpower to perform troubleshooting  12)Attachments: Datasheet  13)Equipment operation need date: 23 Jan 2022  14)Rectification Window: 23 Jan 2022  15)MOC No: NA  16)Remarks: 1 DM to supervise",Valve stuck (unable to open/close)
Service Deaerator LP Steam Valve  Service Deaerator LP Steam Valve Service Deaerator LP Steam Valve  121PICA-001-CV 121PICA-003-CV 121PICA-045-CV 121PICA-005-CV,Valve leaking/passing
Deaerator B : To perform preventive main Deaerator B : To perform preventive maintenance Press Transmitter during CF Renewal Deaerator B : To perform preventive main Deaerator B : To perform preventive maintenance Press Transmitter during CF Renewal,Non-Failure
TO PERFORM PM PRESSURE TRANSMITTER CALIB  TO PERFORM PM PRESSURE TRANSMITTER CALIB TO PERFORM PM PRESSURE TRANSMITTER CALIBRATION.,Non-Failure
HHP/HP LETDOWN A & B: CONTROL VALVE REPL  HHP/HP LETDOWN A & B: CONTROL VALVE REPL HHP/HP LETDOWN A & B: CONTROL VALVE REPLACEMENT,Valve body damaged
"HHP/HP LETDOWN : To perform valve replac HHP/HP LETDOWN A & B: CONTROL VALVE REPLACEMENT HHP/HP LETDOWN : To perform valve replac HHP/HP LETDOWN : To perform valve replacement at stream A , B & C STREAM A : 121PICA-019-CV STREAM B : 121PICA-020-CV STREAM C : 121PICA-040-CV",Valve leaking/passing
"ATS: Letdown HHP/HP B CV Stroke Test 1)As found condition: LETDOWN HHP/HP B 121PICA-020-CV Stuck At 0%  2)Actions taken during Do Troubleshooting: Verify trending, verify site condition  3)Actions taken during Advance Troubleshooting: Request to perform stroking from DCS  4)Findings/Observations during Do Troubleshooting: No abnormalities at site  5)Findings/Observations during Advance Troubleshooting: Valve actual stuck at 0%  6)Source of Problem: 1. Potential actuator leak 2. Potential positioner issue 3. Potential SOV not energized  7)As left condition: NA  8)PKP and Troubleshooter name & contact number: Zuhair 013-3216861  9)Task: Prerequisite: Scaffolding erection to valve actuator 1. To perform stroke test from local 2. To perform direct tap instrument air to actuator 3. To perform stroke test for SOV 4. To measure signal at positioner input/output  10)Advance Troubleshooting eLog Number: eLOG-GPU-UK OCW-2021-32683  11)Special Tools/ Service/ Equipment required: Hart communicator, multimeter, scaffolding  12)Attachments: NA  13)Equipment operation need date: 3 Aug 2021  14)Rectification Window: 3 Aug 2021  15)MOC No: NA  16)Remarks: 1. To request for break in 2. Manpower: 1 DM C&I ATS: BI -Letdown HHP/HP B CV Stroke Test ATS: BI -Letdown HHP/HP B CV Stroke Test 1)As found condition: LETDOWN HHP/HP B 121PICA-020-CV Stuck At 0%  2)Actions taken during Do Troubleshooting: Verify trending, verify site condition  3)Actions taken during Advance Troubleshooting: Request to perform stroking from DCS  4)Findings/Observations during Do Troubleshooting: No abnormalities at site  5)Findings/Observations during Advance Troubleshooting: Valve actual stuck at 0%  6)Source of Problem: 1. Potential actuator leak 2. Potential positioner issue 3. Potential SOV not energized  7)As left condition: NA  8)PKP and Troubleshooter name & contact number: Zuhair 013-3216861  9)Task: Prerequisite: Scaffolding erection to valve actuator 1. To perform stroke test from local 2. To perform direct tap instrument air to actuator 3. To perform stroke test for SOV 4. To measure signal at positioner input/output  10)Advance Troubleshooting eLog Number: eLOG-GPU-UK OCW-2021-32683  11)Special Tools/ Service/ Equipment required: Hart communicator, multimeter, scaffolding  12)Attachments: NA  13)Equipment operation need date: 3 Aug 2021  14)Rectification Window: 3 Aug 2021  15)MOC No: NA  16)Remarks: 1. To request for break in 2. Manpower: 1 DM C&I",Valve stuck (unable to open/close)
Replace regulator for IP Vent A Work Task: Request C&I to replace regulator for IP Vent A  Remark:  As per RCFA action item recommendation (HHP CV jerking RCFA) To replace regulator for IP Vent A due t To replace regulator for IP Vent A due to HHP CV jerking Work Task: Request C&I to replace regulator for IP Vent A  Remark:  As per RCFA action item recommendation (HHP CV jerking RCFA),Valve jerking (rapid open/close)
Replace regulator for IP Vent B Work Task: Request C&I to replace regulator for IP Vent B  Remark:  As per RCFA action item recommendation (HHP CV jerking RCFA) To replace regulator for IP Vent B due t To replace regulator for IP Vent B due to HHP CV jerking Work Task: Request C&I to replace regulator for IP Vent B  Remark:  As per RCFA action item recommendation (HHP CV jerking RCFA),Valve jerking (rapid open/close)
HHP/HP LETDOWN : TO REPLACE 121PICA-040-  HHP/HP LETDOWN C:TO REPLACE 121PICA-040- HHP/HP LETDOWN C:TO REPLACE 121PICA-040-CV,Valve leaking/passing
DEAERATOR D:TO PERFORM PM FOR CONTROL VA  DEAERATOR D:TO PERFORM PM FOR CONTROL VA DEAERATOR D:TO PERFORM PM FOR CONTROL VALVE DUE TO CF RENEWAL,Non-Failure
HRSG B:To perform preventive maintenance  HRSG B:To perform preventive maintenance HRSG B:To perform preventive maintenance pressure transmitter during CF Renewal.  Equipments included: - Pressure Transmitters - DP Pressure Transmitters - Level Transmitters - Flow Transmitters  ,Non-Failure
HRSG-C:To replace new transmitter and do  HRSG-C:To replace new transmitter and do HRSG-C:To replace new transmitter and do calibration for PICA-1C53-TX due to reading dip intermittently.,TX/Sensor Reading Fluctuate
HRSG D:To perform preventive maintenance  HRSG E:To perform preventive maintenance HRSG E:To perform preventive maintenance pressure transmitter during CF Renewal.   Equipments included: - Pressure Transmitters - DP Pressure Transmitters - Level Transmitters - Flow Transmitters,Non-Failure
HRSG G:To perform preventive maintenance  HRSG G:To perform preventive maintenance HRSG G:To perform preventive maintenance pressure transmitter during CF Renewal.   Equipments included: - Pressure Transmitters - DP Pressure Transmitters - Level Transmitters - Flow Transmitters,Non-Failure
CF RENEWAL COGEN G: PPM FOR PRESSURE TRA  CF RENEWAL COGEN G: PPM FOR PRESSURE TRA CF RENEWAL COGEN G: PPM FOR PRESSURE TRANSMITTER CALIBRATION,Non-Failure
HRSG D:To perform preventive maintenance  HRSG D:To perform preventive maintenance HRSG D:To perform preventive maintenance pressure transmitter during CF Renewal.  Equipments included: - Pressure Transmitters - DP Pressure Transmitters - Level Transmitters - Flow Transmitters,Non-Failure
HRSG D:To perform offline and online saf  HRSG D:To perform offline and online saf PRM,Non-Failure
ATS HRSG D Fuel Gas Flow Faulty PRM ATS HRSG D to calib. transmitter ATS HRSG D to calib. transmitter 1)As found condition: -HRSG D fuel gas flow show reading during shutdown  2)Actions taken during Do Troubleshooting: - Transmitter still giving reading after: 1. isolate main fuel gas isolating valve 2. isolate impulse line 3. depressurized fuel gas line  3)Actions taken during Advance Troubleshooting: -NA  4)Findings/Observations during Do Troubleshooting: -Reading Faulty  5)Findings/Observations during Advance Troubleshooting: -to request calibration transmitter.  6)Source of Problem: -Transmitter faulty  7)As left condition: -HRSG running with transmitter faulty  8)PKP and Troubleshooter name & contact number: -PKP : tun Armizi - troubleshooter : Zuhair  9)Task: -to calibration transmitter  10)Advance Troubleshooting eLog Number: - eLog-gpu-uk ocw-2021-16616  11)Special Tools/ Service/ Equipment required: -NA  12)Attachments: -NA  13)Equipment operation need date: -na  14)Rectification Window: -next window shutdown  15)MOC No: -NA  16)Remarks: -NA,TX/Sensor Drift
To replace Pressure Transmitter 121PZA-1  BI-To replace Pressure Transmitter 121PZ BI-To replace Pressure Transmitter 121PZA-1E74B-TX due to intermittent alarm,TX/Sensor Intermittent Fault
DEA B: QIA-1B60-TX Replace new rotameter - Found during PM activities - Rotameter badly muddy and sugest to replace DEA B: QIA-1B60-TX Replace new rotameter DEA B: QIA-1B60-TX Replace new rotameter - Found during PM activities - Rotameter badly muddy and sugest to replace,"TX/Sensor Accessories (Rotameter, Display, Gauge, etc) Faulty"
HRSG-B: PROJECT POSITIONER CONTROL VALVE  HRSG-B: PROJECT POSITIONER CONTROL VALVE ,Valve position/indication mismatch with site
HRSG-C CF RENEWAL:PERFORM PM FOR PRESSUR  HRSG-C CF RENEWAL:PERFORM PM FOR PRESSUR HRSG-C CF RENEWAL:PERFORM PM FOR PRESSURE TRANSMITTER.,Non-Failure
Positioner replacement for upgrading pro  Positioner replacement for upgrading pro Positioner replacement for upgrading project for HRSG-C,Valve position/indication mismatch with site
HRSG C:To perform CBD Valve servicing 12  HRSG C:To perform CBD Valve servicing 12 HRSG C:To perform CBD Valve servicing 121QICA-1C58-CV due to passing,Valve leaking/passing
CF RENEWAL CONTROL VALVE PM CALIBRATION  CF RENEWAL CONTROL VALVE PM CALIBRATION CF RENEWAL CONTROL VALVE PM CALIBRATION     ,Non-Failure
HRSG E:To perform CBD Valve servicing(IN  HRSG B:To perform CBD Valve servicing 12 HRSG B:To perform CBD Valve servicing 121QICA-1B58-CV due to passing,Valve leaking/passing
HRSG E:To perform CBD Valve servicing(IN  HRSG E:To perform CBD Valve servicing(IN HRSG E:To perform CBD Valve servicing(INSTALL)121QICA-1E58-CV due to passing,Valve leaking/passing
HRSG F:To perform CBD Valve servicing(IN  HRSG F:To perform CBD Valve servicing(IN HRSG F:To perform CBD Valve servicing(INSTALL)121QICA-1F58-CV due to passing,Valve leaking/passing
HRSG G:To perform CBD Valve servicing(IN  HRSG G:To perform CBD Valve servicing 12 HRSG G:To perform CBD Valve servicing 121QICA-1G58-CV due to passing,Valve leaking/passing
CF RENEWAL COGEN G: PPM FOR CONTROL VALV  CF RENEWAL COGEN G : FOR CONTROL VALV CF RENEWAL COGEN G : FOR CONTROL VALV   E,Non-Failure
TO PERFORM PM FOR TEMPERATURE TRANSMITTE  TO PERFORM PM FOR TEMPERATURE TRANSMITTE TO PERFORM PM FOR TEMPERATURE TRANSMITTER CALIBRATION,Non-Failure
DEAERATOR A:TO PERFORM PM FOR TEMPERATUR  DEAERATOR A:TO PERFORM PM FOR TEMPERATUR DEAERATOR A:TO PERFORM PM FOR TEMPERATURE TRANSMITTER DUE TO CF RENEWAL,Non-Failure
DEAERATOR D:TO PERFORM PM FOR TEMPERATUR  DEAERATOR D:TO PERFORM PM FOR TEMPERATUR DEAERATOR D:TO PERFORM PM FOR TEMPERATURE TRANSMITTER DUE TO CF RENEWAL,Non-Failure
CF RENEWAL:TEMPERATURE TRANSMITTER PM CA  CF RENEWAL:TEMPERATURE TRANSMITTER PM CA CF RENEWAL:TEMPERATURE TRANSMITTER PM CALIBRATION.,Non-Failure
CF RENEWAL COGEN G: PPM FOR TEMPERATURE  CF RENEWAL COGEN G: PPM FOR TEMPERATURE CF RENEWAL COGEN G: PPM FOR TEMPERATURE TRANSMITTER CALIBRATION,Non-Failure
Deaerator B : To perform preventive main Deaerator B : To perform preventive maintenance Temp Transmitter during CF Renewal Deaerator B : To perform preventive main Deaerator B : To perform preventive maintenance Temp Transmitter during CF Renewal ,Non-Failure
BFW pp D bearing temp reading fluctuate BFW pp D bearing temp reading heavily fluctuate (121TIA-2D04-TX) BFW pp D bearing temp reading fluctuate BFW pp D bearing temp reading fluctuate (121TIA-2D04-TX),TX/Sensor Reading Fluctuate
HRSG B : To perform Desup valve servicin  HRSG B : To perform Desup valve servicin HRSG B : To perform Desup valve servicing(INSTALL)121TIC-1B54-CV due to passing ,Valve leaking/passing
HRSG B:To perform preventive maintenance  HRSG B:To perform preventive maintenance HRSG B:To perform preventive maintenance for temperature transmitter during CF Renewal,Non-Failure
HRSG E CONTROL VALVE CALIBRATION  HRSG E CONTROL VALVE CALIBRATION HRSG E CONTROL VALVE CALIBRATION,Non-Failure
HRSG F ECONOMIZER GROUNDING CABLE BROKEN WORK REQUEST : C&I to replace grounding cable at HRSG F Economizer B (21TIC-1F56B-CV) due to cable broken.  1st Line T/shooting: Found during structured round tranducer cable corroded and broken.  T/Shooter : Request replace new set of grounding cable due to badly corroded and broken.Request to raise defect.  Refer picture as per attachment HRSG F :To replace grounding cable at HR HRSG F :To replace grounding cable at HRSG F Economizer B (21TIC-1F56B- CV) due to cable broken.  WORK REQUEST : C&I to replace grounding cable at HRSG F Economizer B (21TIC-1F56B-CV) due to cable broken.  1st Line T/shooting: Found during structured round tranducer cable corroded and broken.  T/Shooter : Request replace new set of grounding cable due to badly corroded and broken.Request to raise defect.  Refer picture as per attachment,Instrument Grounding Cable Damaged
